,candle_end_time,open,high,low,close,amount,info,DIF,DEA,MACD,max,min,price_new_high,price_new_low,DIF_new_high,DIF_new_low,last_peak_price,last_peak_dif,last_valley_price,last_valley_dif
3253,2018/8/21,3271.84,3331.71,3270.03,3326.65,75205583,,-57.59609571,-52.91895399,-9.35428344,3326.65,3271.84,,,,,4365.08,79.54264692,3267.25,-61.76002861
3254,2018/8/22,3328.97,3328.97,3299.39,3307.95,50787057,,-55.16912725,-53.36898865,-3.600277215,3328.97,3307.95,,,,,4365.08,79.54264692,3267.25,-61.76002861
3255,2018/8/23,3308.46,3336.11,3285.81,3320.03,61112334,,-51.67530151,-53.03025122,2.709899416,3320.03,3308.46,,,,,4365.08,79.54264692,3267.25,-61.76002861
3256,2018/8/24,3308.48,3353.04,3291.87,3325.33,63765897,,-47.9262893,-52.00945883,8.166339066,3325.33,3308.48,,,,,4365.08,79.54264692,3267.25,-61.76002861
3257,2018/8/27,3339.39,3406.57,3339.26,3406.57,94270082,,-37.96217672,-49.20000241,22.47565138,3406.57,3339.39,,,,,4365.08,79.54264692,3267.25,-61.76002861
3258,2018/8/28,3408.15,3416.59,3388.81,3400.17,75445363,,-30.23345973,-45.40669388,30.34646829,3408.15,3400.17,,,,,4365.08,79.54264692,3267.25,-61.76002861
3259,2018/8/29,3393.05,3398.71,3377.12,3386.57,67020404,,-24.91855656,-41.30906641,32.78101971,3393.05,3386.57,,,,,4365.08,79.54264692,3267.25,-61.76002861
3260,2018/8/30,3385.81,3402.56,3349.47,3351.09,68385290,,-23.30079987,-37.7074131,28.81322647,3385.81,3351.09,,,,,4365.08,79.54264692,3267.25,-61.76002861
3261,2018/8/31,3333.38,3356.58,3310.87,3334.5,76205630,,-23.0912093,-34.78417234,23.38592608,3334.5,3333.38,,,,,4365.08,79.54264692,3267.25,-61.76002861
3262,2018/9/3,3320.69,3325.61,3291.78,3321.82,66429855,,-23.67536245,-32.56241037,17.77409582,3321.82,3320.69,,,,,4365.08,79.54264692,3267.25,-61.76002861
3263,2018/9/4,3324.19,3370.96,3307.96,3363.9,67088807,,-20.50641849,-30.15121199,19.28958701,3363.9,3324.19,,,,,4365.08,79.54264692,3267.25,-61.76002861
3264,2018/9/5,3349.7,3354.2,3298.14,3298.14,64301888,,-23.03574822,-28.72811923,11.38474204,3349.7,3298.14,,,,,4365.08,79.54264692,3267.25,-61.76002861
3265,2018/9/6,3286.66,3311.5,3253.76,3262.88,62300288,,-27.56766469,-28.49602833,1.856727271,3286.66,3262.88,,,,,4365.08,79.54264692,3267.25,-61.76002861
3266,2018/9/7,3273.89,3316.61,3253.73,3277.64,63947408,,-29.62671418,-28.7221655,-1.809097371,3277.64,3273.89,,,,,4365.08,79.54264692,3267.25,-61.76002861
