id,pcid,cid,招生代码,zstype,coname,conamememo,bdenji,选测等级,xdenjinuma,xdenjinumb,xdenjicanchange,diploma,yearno,ty,pici,source_pici,source_zscode,招生专业代码,specname,specflag,specnamememo,specnamememolq,specnamememoplan,招生计划增减,xuezi,xuefei,xuancei,sid,speccode,scateid,stypebig,stypesmall,计划招生,录取人数,最高分,最低分,分差,位次,segmenttotalman,linescore,zypingxing,zyzhengqiu,zyfucong,lastplannum,lastlqnum,2018最高分,2018最低分,2018分差,2018位次,lastsegmenttotalman,lastlinescore,lastzypingxing,lastzyzhengqiu,lastzyfucong,is985,is211,isyan,is11c,is11s,collegelevel,collegetype,province,banxuetype,分差2019,位次2019,分差2018,位次2018,分差2017,位次2017,分差2016,位次2016,分差2015,位次2015,isok,zscode,specialtynum,specialtynum3,havespace,xdenji,underlinecount,underlinecount_old,minscoregailv,minscoregailv_2020_toudang,minscoregailv_2020_xh,minscoregailv_2020_4,minscoregailv_2020_3,minscoregailv_2020_1,minscoregailv_2019_used,minscoregailv_2019,minscoregailv_2018,minscoregailv_other,minscoregailv_1,minscoregailv_2019_1,plannum,lqnum,maxscore,minscore,minscoreminus,segmentposition,lastmaxscore,lastminscore,lastminscoreminus,lastsegmentposition,plannumupdown,minscoreminus2018,segmentposition2018,minscoreminus2017,segmentposition2017,minscoreminus2016,segmentposition2016,minscoreminus2015,segmentposition2015,minscoreminus2019,segmentposition2019
69173,,12,,,四川大学,(成都),,,8,8,1,本科,2020,文科,本科第一批次,,,,,,,,,,,,,,,,,,,,,,,,109,343,0,0,0,38,37,,,,,108,339,37,0,0,1,1,1,1,1,A+,综合,四川,公办,,,,,,,,,,,,6101,13,140,0,AA,0,0,393,393,392,392,392,392,0,0,0,0,0,0,39,0,0,393,50,957,388,382,43,1074,1,41,1131,41,972,26,1197,27,1324,43,1074
68623,,13,,,哈尔滨工业大学,,,,8,8,1,本科,2020,文科,本科第一批次,,,,,,,,,,,,,,,,,,,,,,,,148,343,0,0,0,8,8,,,,,159,339,8,0,0,1,1,1,1,1,A+,理工,黑龙江,公办,,,,,,,,,,,,4301,6,50,0,AA,0,0,386,386,386,386,386,386,0,0,0,0,0,0,12,0,0,386,43,1859,382,376,37,1816,4,38,1534,34,1756,20,2097,18,2747,37,1816
69384,,14,,,西安交通大学,,,,8,6,0,本科,2020,文科,本科第一批次,,,,,,,,,,,,,,,,,,,,,,,,109,343,0,0,0,2,3,,,,,273,339,3,0,0,1,1,1,1,1,A+,综合,陕西,公办,,,,,,,,,,,,7104,2,14,0,"历史A,另一门B",0,0,392,392,380,380,380,388,0,0,0,0,0,0,3,0,0,392,49,1066,375,369,30,3201,1,44,848,44,741,25,1314,25,1593,30,3201
68024,,15,,,山东大学,(济南),,,8,8,1,本科,2020,文科,本科第一批次,,,,,,,,,,,,,,,,,,,,,,,,109,343,0,0,0,46,45,,,,,102,339,45,0,0,1,1,1,1,1,A+,综合,山东,公办,,,,,,,,,,,,2601,13,135,0,AA,0,0,392,392,390,390,390,390,0,0,0,0,0,0,44,0,0,392,49,1066,387,381,42,1182,-2,40,1260,38,1261,25,1314,1,8292,42,1182
68283,,16,,,天津大学,,,,0,0,1,本科,2020,文科,本科第一批次,,,,,,,,,,,,,,,,,,,,,,,,0,343,0,0,0,0,0,,,,,0,0,0,0,0,1,1,1,1,1,A+,理工,天津,公办,,,,,,,,,,,,3202,1,23,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36077,0,0,0,0,0,0,28,1207,0,0
68918,,17,,,中南大学,(长沙),,,8,8,1,本科,2020,文科,本科第一批次,,,,,,,,,,,,,,,,,,,,,,,,130,343,0,0,0,24,23,,,,,141,339,23,0,0,1,1,1,1,1,A+,综合,湖南,公办,,,,,,,,,,,,5302,5,71,0,AA,0,0,390,390,388,388,388,388,0,0,0,0,0,0,24,0,0,390,47,1300,382,378,39,1527,0,38,1534,36,1475,21,1920,17,2945,39,1527
68280,,19,,,南开大学,(天津),,,8,7,1,本科,2020,文科,本科第一批次,,,,,,,,,,,,,,,,,,,,,,,,72,343,0,0,0,20,20,,,,,76,339,20,0,0,1,1,1,1,1,A+,综合,天津,公办,,,,,,,,,,,,3201,5,63,0,AB+,0,0,397,397,396,396,396,396,0,0,0,0,0,0,22,0,0,397,54,620,390,386,47,728,2,46,686,45,670,30,785,32,836,47,728
68158,,20,,,北京师范大学,,,,8,7,1,本科,2020,文科,本科第一批次,,,,,,,,,,,,,,,,,,,,,,,,44,343,0,0,0,11,11,,,,,63,339,11,0,0,1,1,1,1,1,A+,师范,北京,公办,,,,,,,,,,,,3104,6,42,0,AB+,0,0,401,401,398,398,398,398,0,0,0,0,0,0,15,0,0,401,58,392,398,389,50,512,4,48,583,46,602,32,617,33,754,50,512
67061,,21,,,东南大学,(南京),,,8,6,0,本科,2020,文科,本科第一批次,,,,,,,,,,,,,,,,,,,,,,,,69,343,0,0,0,42,47,,,,,76,339,47,0,0,1,1,1,1,1,A+,综合,江苏,公办,,,,,,,,,,,,1102,3,41,0,"历史A,另一门B",0,0,396,0,396,396,396,396,0,0,0,0,0,0,40,0,0,396,53,692,392,386,47,728,-2,46,686,46,602,31,696,33,754,47,728
67887,,22,,,厦门大学,,,,8,8,1,本科,2020,文科,本科第一批次,,,,,,,,,,,,,,,,,,,,,,,,55,343,0,0,0,21,20,,,,,90,339,20,0,0,1,1,1,1,1,A+,综合,福建,公办,,,,,,,,,,,,2411,10,100,0,AA,0,0,398,398,398,398,397,398,0,0,0,0,0,0,23,0,0,398,55,565,395,387,48,638,2,49,507,47,548,34,487,35,621,48,638
