id,coname,conamememo,diploma,yearno,ty,pici,一本线,lastplannum,lastlqnum,lastsegmenttotalman,2019一本线,lastzypingxing,is985,is211,isyan,is11c,is11s,collegelevel,collegetype,province,banxuetype,zscode,specialtynum,specialtynum3,xdenji,2020最低投挡线,minscoregailv_2020_xh,minscoregailv_2020_4,minscoregailv_2020_3,minscoregailv_2020_1,2020招生计划,2020招生计划变化,2020最高分,2020最低分,2020线差,2020位次,2019最高分,2019最低分,2019线差,2019位次,2018线差,2018位次,2017线差,2017位次,2016线差,2016位次,2015线差,2015位次
67096,中国药科大学,(南京),本科,2020,文科,本科第一批次,343,26,53,373,339,53,0,1,0,0,1,A-,医药,江苏,公办,1109,2,24,AB,0,372,372,370,372,40,14,0,372,29,4997,369,361,22,5554,22,5059,21,4554,10,4610,10,4777
68243,首都师范大学,(北京),本科,2020,文科,本科第一批次,343,8,8,280,339,8,0,0,0,0,1,A-,师范,北京,公办,3133,4,38,AB,374,374,374,374,374,8,0,0,374,31,4401,371,365,26,4240,25,4160,21,4554,11,4281,10,4777
68072,山东科技大学,(青岛),本科,2020,文科,本科第一批次,343,5,1,636,339,0,0,0,0,0,0,B+,理工,山东,公办,2633,1,3,BB,343,348,348,348,348,5,0,0,343,0,18897,340,340,1,16146,-3,17875,1,13980,0,0,0,0
67736,宁波大学,,本科,2020,文科,本科第一批次,343,0,0,0,0,0,0,0,0,0,1,A-,综合,浙江,公办,2221,1,30,BB,366,357,357,357,357,3,36077,0,366,23,7039,0,0,0,0,0,0,5,11497,3,7328,0,8773
68833,湖北大学,(武汉),本科,2020,文科,本科第一批次,343,4,4,533,339,4,0,0,0,0,0,B+,综合,湖北,公办,5209,2,34,B+B,352,358,358,358,358,5,1,0,352,9,13695,358,348,9,11410,10,10113,7,10380,1,8247,0,8773
69230,四川师范大学,(成都),本科,2020,文科,本科第一批次,343,14,17,625,339,17,0,0,0,0,0,B,师范,四川,公办,6140,4,7,BB,356,350,350,350,350,8,-6,0,356,13,11601,359,341,2,15521,0,0,0,0,0,0,0,0
67115,南京林业大学,,本科,2020,文科,本科第一批次,343,242,266,487,339,266,0,0,0,0,1,A-,林业,江苏,公办,1115,11,110,BB,0,360,360,360,360,226,-16,0,360,17,9697,367,350,11,10370,11,9597,7,10380,3,7328,4,6965
67171,南京医科大学,,本科,2020,文科,本科第一批次,343,99,100,612,339,100,0,0,0,0,0,B+,医药,江苏,公办,1134,3,10,BB,0,352,352,352,352,99,0,0,349,6,15382,362,343,4,14285,3,13940,1,13980,0,0,0,0
68118,曲阜师范大学,,本科,2020,文科,本科第一批次,343,0,0,0,0,0,0,0,0,0,0,B,师范,山东,公办,2671,7,0,BB,346,349,349,349,349,18,36077,0,346,3,17092,0,0,0,0,0,0,0,0,0,0,0,0
68874,长江大学,(荆州),本科,2020,文科,本科第一批次,343,3,3,699,339,3,0,0,0,0,0,B+,综合,湖北,公办,5243,2,2,BB,347,345,345,345,347,3,0,0,347,4,16499,339,335,-4,19428,0,0,0,0,0,0,0,0
67808,安徽师范大学,(芜湖),本科,2020,文科,本科第一批次,343,30,30,533,339,30,0,0,0,0,0,B,师范,安徽,公办,2309,11,19,BB,356,356,356,356,359,32,2,0,356,13,11601,358,348,9,11410,5,12736,0,0,0,0,0,0
69068,汕头大学,,本科,2020,文科,本科第一批次,343,10,10,405,339,10,0,0,0,0,0,B+,综合,广东,公办,5421,7,63,BB,364,365,365,365,365,10,0,0,364,21,7857,364,356,17,7511,16,7345,13,7455,5,6437,0,8773
68181,中国政法大学,(北京),本科,2020,文科,本科第一批次,343,40,40,72,339,40,0,1,0,0,1,A-,政法,北京,公办,3112,14,123,B+B+,396,395,395,395,395,41,1,0,396,53,692,398,385,46,804,45,772,43,814,26,1197,30,1003
68410,中北大学,(太原),本科,2020,文科,本科第一批次,343,2,2,607,339,1,0,0,0,0,0,B,理工,山西,公办,3402,1,3,BB,344,348,348,348,348,2,0,0,344,1,18250,342,339,0,16782,0,15888,0,0,0,0,0,0
69392,长安大学,(西安),本科,2020,文科,本科第一批次,343,10,10,336,339,10,0,1,0,0,1,A-,理工,陕西,公办,7107,4,46,BB,371,369,369,369,369,9,-1,0,371,28,5321,362,360,21,5927,19,6200,16,6281,4,6876,0,8773
67703,浙江师范大学,(金华),本科,2020,文科,本科第一批次,343,6,6,358,339,6,0,0,0,0,0,B+,师范,浙江,公办,2206,2,18,BB,374,371,370,370,370,6,0,0,374,31,4401,364,364,25,4520,21,5426,13,7455,5,6437,2,7854
67258,南通大学,,本科,2020,文科,本科第一批次,343,613,627,624,339,606,0,0,0,0,0,B+,综合,江苏,公办,1301,20,77,BC,351,351,351,351,351,544,-69,0,350,7,14820,368,342,3,14897,1,15232,2,13309,0,8781,0,8773
67442,南通大学,,本科,2020,文科,本科第一批次,343,0,0,0,0,0,0,0,0,0,0,B+,综合,江苏,公办,1791,2,2,BC,343,344,344,344,347,25,36077,0,343,0,18897,0,0,0,0,-4,18575,0,14645,0,0,0,0
68752,河南师范大学,(新乡),本科,2020,文科,本科第一批次,343,20,19,607,339,16,0,0,0,0,0,B+,师范,河南,公办,5153,6,10,BB,346,347,347,347,347,23,3,0,346,3,17092,344,339,0,16782,0,15888,0,0,0,0,0,0
69406,西安理工大学,,本科,2020,文科,本科第一批次,343,0,0,0,339,0,0,0,0,0,0,B+,理工,陕西,公办,7112,1,2,,0,347,347,347,347,0,36077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68954,湖南科技大学,(湘潭),本科,2020,文科,本科第一批次,343,33,33,607,339,28,0,0,0,0,0,B,综合,湖南,公办,5321,15,56,BB,347,348,348,348,348,32,-1,0,347,4,16499,346,339,0,16782,1,15232,0,14645,-4,11066,-7,12720
69295,贵州大学,(贵阳),本科,2020,文科,本科第一批次,343,0,0,0,0,0,0,1,0,0,1,A-,综合,贵州,公办,6301,2,28,BB,366,356,356,356,356,4,36077,0,366,23,7039,0,0,0,0,15,7771,10,8831,1,8247,0,8773
