本基金收益率数据由邢不行整理，包含了2008年-2021年所有主动偏股型基金，并剔除当年新上市基金，同一个基金的A类/C类份额中只取A类。,,,,,,,,,,,,,,
基金代码,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
161601.OF,-0.44852532,0.489236461,-0.012535291,-0.230443733,0.044434537,0.064029596,0.192029955,0.373120933,-0.343118649,0.161724051,-0.173282856,0.192463692,0.460061444,-0.079213306
519029.OF,-0.514935354,0.490808823,0.037607892,-0.266191325,0.00728745,0.304662379,0.084613598,0.444309928,-0.265716681,-0.019406393,-0.264260768,0.462816456,0.401297999,-0.031278091
560002.OF,-0.499805785,0.492464314,-0.142837503,-0.254691259,-0.142457499,0.084818067,0.083044183,0.229175566,-0.257341442,0.00491343,-0.215599535,0.401306026,0.754077526,-0.019673577
519183.OF,,0.493507726,-0.029826568,-0.167075925,0.029009433,0.133623653,0.217347352,0.305274071,0.072768532,0.059935129,-0.147684939,0.287855136,0.226969697,0.240508812
100016.OF,-0.437421185,0.496637713,0.180750558,-0.155576071,0.043661171,0.201655954,0.153891312,0.731363394,-0.209042765,0.367170626,-0.295418641,0.396113602,0.499464668,0.052117232
100020.OF,-0.438268353,0.497264343,0.058884945,-0.212285545,0.059081237,0.064649568,0.208703375,0.429096253,-0.127794185,0.337563452,-0.220408842,0.578947369,0.897465988,-0.039153015
161609.OF,-0.561000654,0.497604114,-0.038406828,-0.30773204,0.0261723,0.213602551,0.443082311,0.194174757,-0.12703252,0.031431897,-0.198081264,0.348682484,0.534165523,-0.055374982
483003.OF,-0.483808857,0.505300808,-0.024081575,-0.172943889,-0.014312268,-0.149726569,0.170769572,0.584959272,-0.272576499,0.083856127,-0.304842755,0.272550652,0.645147219,0.154670123
161605.OF,-0.496042216,0.505924063,-0.060121766,-0.190317945,0.028717949,0.069965178,0.356700294,0.328954202,-0.166613298,0.093032433,-0.21393344,0.447698745,0.153207759,0.097473343
163503.OF,-0.57309815,0.505956907,0.01279246,-0.251786605,0.117281208,0.163817097,0.178168774,0.335066048,-0.294455379,0.076840293,-0.2778333,0.326321616,0.468071786,0.086135247
