code,name,industry,area
002605,姚记扑克,文教休闲,上海
603060,国检集团,建筑施工,北京
000688,国城矿业,铅锌,重庆
600725,ST云维,焦炭加工,云南
300162,雷曼光电,元器件,深圳
002491,通鼎互联,通信设备,江苏
300490,华自科技,电气设备,湖南
002740,爱迪尔,服饰,深圳
002120,韵达股份,仓储物流,浙江
600803,新奥股份,农药化肥,河北
600965,福成股份,农业综合,河北
300586,美联新材,化工原料,广东
603912,佳力图,专用机械,江苏
000506,中润资源,区域地产,山东
600301,ST南化,化工原料,广西
300217,东方电热,电器仪表,江苏
300294,博雅生物,生物制药,江西
600272,开开实业,中成药,上海
600556,ST慧球,软件服务,广西
300551,古鳌科技,专用机械,上海
600867,通化东宝,生物制药,吉林
002478,常宝股份,钢加工,江苏
000010,美丽生态,建筑施工,深圳
000735,罗 牛 山,农业综合,海南
300340,科恒股份,元器件,广东
600345,长江通信,通信设备,湖北
002237,恒邦股份,黄金,山东
600131,岷江水电,水力发电,四川
600215,长春经开,园区开发,吉林
300209,天泽信息,软件服务,江苏
002161,远 望 谷,通信设备,深圳
600459,贵研铂业,小金属,云南
603160,汇顶科技,元器件,深圳
300347,泰格医药,医疗保健,浙江
000509,华塑控股,其他建材,四川
000573,粤宏远Ａ,区域地产,广东
002394,联发股份,纺织,江苏
300441,鲍斯股份,机床制造,浙江
600761,安徽合力,工程机械,安徽
603866,桃李面包,食品,辽宁
300115,长盈精密,元器件,深圳
300290,荣科科技,软件服务,辽宁
002578,闽发铝业,铝,福建
603229,奥翔药业,化学制药,浙江
300390,天华超净,元器件,江苏
600190,锦州港,港口,辽宁
603388,元成股份,建筑施工,浙江
600064,南京高科,园区开发,江苏
603297,永新光学,电器仪表,浙江
600872,中炬高新,食品,广东
002742,三圣股份,其他建材,重庆
600230,沧州大化,农药化肥,河北
000568,泸州老窖,白酒,四川
002598,山东章鼓,机械基件,山东
300300,汉鼎宇佑,软件服务,浙江
002367,康力电梯,运输设备,江苏
600319,亚星化学,化工原料,山东
002139,拓邦股份,元器件,深圳
300082,奥克股份,化工原料,辽宁
000869,张 裕Ａ,红黄药酒,山东
002320,海峡股份,水运,海南
603928,兴业股份,化工原料,江苏
000050,深天马Ａ,元器件,深圳
002089,新 海 宜,通信设备,江苏
300677,英科医疗,医疗保健,山东
002668,奥马电器,家用电器,广东
002738,中矿资源,建筑施工,北京
600851,海欣股份,纺织,上海
000936,华西股份,化纤,江苏
002490,山东墨龙,化工机械,山东
600536,中国软件,软件服务,北京
002299,圣农发展,农业综合,福建
600050,中国联通,电信运营,北京
000035,中国天楹,环境保护,江苏
000547,航天发展,通信设备,福建
600482,中国动力,电气设备,河北
