,candle_end_time,open,high,low,close,amount,info,DIF,DEA,MACD,max,min,price_new_high,price_new_low,DIF_new_high,DIF_new_low,last_peak_price,last_peak_dif,last_valley_price,last_valley_dif,state,signal
575,2007-08-21,4915.52,4995.53,4909.84,4972.71,74440600.0,,210.10490701255821,203.54670107075555,13.116411883605338,4972.71,4915.52,,,,,4721.94,213.73671308450503,1252.39,-30.29369001524401,,
576,2007-08-22,4899.93,5075.89,4887.14,5051.69,74028900.0,,220.71541946430716,206.98044474946587,27.469949429682572,5051.69,4899.93,,,,,4721.94,213.73671308450503,1252.39,-30.29369001524401,,
577,2007-08-23,5075.51,5154.85,5028.12,5135.93,68051900.0,,233.23322358503083,212.2310005165789,42.00444613690388,5135.93,5075.51,,,1.0,,4721.94,213.73671308450503,1252.39,-30.29369001524401,,
578,2007-08-24,5161.15,5231.15,5158.03,5217.58,73769900.0,,246.89608181539734,219.1640167763426,55.46413007810946,5217.58,5161.15,,,1.0,,4721.94,213.73671308450503,1252.39,-30.29369001524401,,
579,2007-08-27,5250.62,5296.57,5191.28,5243.15,82631500.0,,256.8267418897258,226.69656179901926,60.260360181413034,5250.62,5243.15,,,1.0,,4721.94,213.73671308450503,1252.39,-30.29369001524401,,
580,2007-08-28,5220.64,5270.3,5136.61,5251.77,75066800.0,,262.36800842215143,233.83085112364572,57.07431459701144,5251.77,5220.64,,,1.0,,4721.94,213.73671308450503,1252.39,-30.29369001524401,,
581,2007-08-29,5215.65,5283.33,5138.34,5171.82,72929500.0,,257.34172996838606,238.5330268925938,37.61740615158453,5215.65,5171.82,1.0,,,,4721.94,213.73671308450503,1252.39,-30.29369001524401,,
582,2007-08-30,5193.73,5247.57,5176.0,5241.23,67298500.0,,256.0080732884462,242.02803617176428,27.960074233363855,5241.23,5193.73,,,,,5171.82,257.34172996838606,1252.39,-30.29369001524401,,
583,2007-08-31,5255.09,5307.42,5219.99,5296.81,66780400.0,,256.47944684930917,244.91831830727327,23.122257084071805,5296.81,5255.09,,,,,5171.82,257.34172996838606,1252.39,-30.29369001524401,,
584,2007-09-03,5335.05,5433.75,5335.05,5419.17,82849200.0,,263.6868256009893,248.6720197660165,30.029611669945666,5419.17,5335.05,,,1.0,,5171.82,257.34172996838606,1252.39,-30.29369001524401,,
585,2007-09-04,5421.25,5429.21,5333.49,5360.33,79914800.0,,261.63486507195285,251.26458882720377,20.740552489498157,5421.25,5360.33,,,,,5171.82,257.34172996838606,1252.39,-30.29369001524401,,
586,2007-09-05,5357.55,5389.33,5265.06,5363.25,65364900.0,,257.27854425778605,252.46737991332023,9.622328688931646,5363.25,5357.55,1.0,,,,5171.82,257.34172996838606,1252.39,-30.29369001524401,顶背离,0.0
587,2007-09-06,5389.49,5448.84,5365.5,5412.04,70608600.0,,254.82560294460382,252.93902451957698,3.773156850053681,5412.04,5389.49,,,,,5363.25,257.27854425778605,1252.39,-30.29369001524401,,
588,2007-09-07,5382.91,5402.71,5284.65,5294.79,79298900.0,,240.64651099900857,250.4805218154633,-19.668021632909472,5382.91,5294.79,,,,,5363.25,257.27854425778605,1252.39,-30.29369001524401,,
589,2007-09-10,5226.74,5380.46,5182.1,5377.22,65095700.0,,233.3707379818161,247.05856504873387,-27.375654133835553,5377.22,5226.74,,,,,5363.25,257.27854425778605,1252.39,-30.29369001524401,,
590,2007-09-11,5384.56,5414.0,5104.35,5124.09,68806700.0,,204.81814387453687,238.61048081389447,-67.5846738787152,5384.56,5124.09,,,,,5363.25,257.27854425778605,1252.39,-30.29369001524401,,
591,2007-09-12,5102.58,5212.65,5059.46,5202.86,61572300.0,,186.39741465801217,228.16786758271803,-83.54090584941173,5202.86,5102.58,,,,,5363.25,257.27854425778605,1252.39,-30.29369001524401,,
592,2007-09-13,5230.65,5351.58,5212.03,5349.97,59746900.0,,181.57630299654102,218.84955466548263,-74.54650333788322,5349.97,5230.65,,,,,5363.25,257.27854425778605,1252.39,-30.29369001524401,,
593,2007-09-14,5362.46,5405.85,5274.22,5397.28,60295600.0,,179.50385023616855,210.98041377961982,-62.953127086902555,5397.28,5362.46,,,,1.0,5363.25,257.27854425778605,1252.39,-30.29369001524401,,
594,2007-09-17,5389.5,5504.77,5387.68,5498.91,69403100.0,,183.94174223033679,205.57267946976322,-43.26187447885286,5498.91,5389.5,,,,,5363.25,257.27854425778605,1252.39,-30.29369001524401,,
595,2007-09-18,5524.1,5533.53,5405.18,5476.84,71621800.0,,183.56195114621914,201.17053380505442,-35.21716531767055,5524.1,5476.84,,,,,5363.25,257.27854425778605,1252.39,-30.29369001524401,,
596,2007-09-19,5487.38,5498.59,5385.42,5419.27,55880100.0,,176.58004130941845,196.25243530592724,-39.344787993017576,5487.38,5419.27,1.0,,,1.0,5363.25,257.27854425778605,1252.39,-30.29369001524401,顶背离,0.0
597,2007-09-20,5436.64,5501.4,5430.31,5494.92,56712100.0,,175.13233370156104,192.028414985054,-33.79216256698595,5494.92,5436.64,,,,1.0,5419.27,176.58004130941845,1252.39,-30.29369001524401,,
598,2007-09-21,5508.5,5516.11,5357.5,5468.1,61106400.0,,169.86279259909043,187.5952905078613,-35.46499581754176,5508.5,5468.1,,,,1.0,5419.27,176.58004130941845,1252.39,-30.29369001524401,,
599,2007-09-24,5481.38,5541.13,5400.68,5513.9,54184800.0,,167.45203768861847,183.56663994401276,-32.22920451078858,5513.9,5481.38,,,,1.0,5419.27,176.58004130941845,1252.39,-30.29369001524401,,
